,date,12m_volume,6m_volume,3m_volume,12m_avg_mkt_cap,3m_avg_mkt_cap,6m_avg_mkt_cap,Instrument,1yr_vol,6mth_vol,3mth_vol,1yr_mom,6m_mom,3m_mom,p_e,p_b,p_cf,ev,ev_ebit,ev_ebitda,ev_sales,close,200_ma,50_ma,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,bvps,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce,roe,roa,roce,roic,d_e,1yr_ret,3m_ret,6m_ret
12,2019-08-30,577186.75,553314.7222222222,569423.5396825396,22816.971388888887,22333.5380952381,23278.626349206348,A,0.28170254324617044,0.2832921784386911,0.2524528635737309,0.07059186560167863,-0.10879535247113059,0.06383815801641513,20.646423999428475,4.643796121594463,92.85438096227719,33022006.25,0.03345694655521783,0.02740415456431535,0.0064876240176817285,71.11000061035156,71.5486480149896,70.45785302313821,3.38443,3.44418,3.40123,-0.12532,987000000.0,1205000000.0,5090000000.0,1072000000.0,8625000000.0,778000000.0,1765000000.0,4747000000.0,1129000000.0,1798000000.0,7003000000.0,3618000000.0,15.3129032258065,242000000.0,48000000.0,0.765822784810127,194000000.0,7847000000.0,0.2079207920792079,1.268637532133676,0.12578055307760927,0.11443478260869565,0.19390962671905698,33000000.0,0.027385892116182572,0.13661271823626864,0.12428985507246376,0.2106090373280943,0.050979566041710556,0.030839811392889,0.028057971014492755,0.04754420432220039,0.03455661859203198,0.04086791657889193,0.02472282400917548,0.022492753623188404,0.0381139489194499,0.027702413251463658,34.8834711631404,19.1351478732179,22.6530896917283,18.5649144106529,37.87655,0.4247999359490031,0.13828969677626324,0.13433836028358903
32,2019-09-30,583158.5634920635,580908.0714285715,572691.7619047619,22913.364722222224,22546.822063492065,22923.4673015873,A,0.2858801895587554,0.28554314498419964,0.26544174287425765,0.0942886263484215,-0.05635211651552963,0.013392312744203716,22.24912671620472,5.0042762057214025,100.06231046314076,33023714.50999999,0.03345867731509624,0.02740557220746887,0.006487959628683692,76.62999725341797,72.34829998166879,73.6098511050752,3.38443,3.44418,3.40123,-0.12532,987000000.0,1205000000.0,5090000000.0,1072000000.0,8625000000.0,778000000.0,1765000000.0,4747000000.0,1129000000.0,1798000000.0,7003000000.0,3618000000.0,15.3129032258065,242000000.0,48000000.0,0.765822784810127,194000000.0,7847000000.0,0.2079207920792079,1.268637532133676,0.12578055307760927,0.11443478260869565,0.19390962671905698,33000000.0,0.027385892116182572,0.13661271823626864,0.12428985507246376,0.2106090373280943,0.050979566041710556,0.030839811392889,0.028057971014492755,0.04754420432220039,0.03455661859203198,0.04086791657889193,0.02472282400917548,0.022492753623188404,0.0381139489194499,0.027702413251463658,34.8834711631404,19.1351478732179,22.6530896917283,18.5649144106529,37.87655,0.3166990666720597,0.11026091847232022,-0.06102202188339367
650,2019-07-31,478135.02777777775,2025111.1904761905,1980383.111111111,15605.35873015873,14144.785238095237,14650.810317460318,AAL,0.41205105558903893,0.32788643285106944,0.383392513049796,-0.20845671541546484,-0.15571077079175877,-0.09766870705435737,10.009645554510683,3.723710340010748,28.372656101993126,-227186414.79999995,-0.1521779186817603,-0.1348367349991097,-0.056001384046539135,30.510000228881836,34.176471532501935,32.25065313787772,3.01417,3.01417,2.98498,0.38367,1151000000.0,1457000000.0,5817000000.0,925000000.0,10398000000.0,835000000.0,1380000000.0,4810000000.0,-249000000.0,2932000000.0,8640000000.0,5059000000.0,15.8745874587459,472000000.0,31000000.0,1.53745928338762,868000000.0,9563000000.0,0.2392931392931393,1.378443113772455,0.12035971975321552,0.11069436430082709,0.197868317001891,1552000000.0,1.0652024708304735,0.09672696852452159,0.08895941527216772,0.15901667526216262,0.09812889812889813,0.049356896371431556,0.04539334487401423,0.08114148186350352,0.05462962962962963,0.18045738045738047,0.09076649586949702,0.0834775918445855,0.14921780986762936,0.10046296296296296,19.3150970975151,9.31849090817509,11.4551083591331,12.8615558509213,60.95634,-0.6297185140806131,0.0170029520610826,-0.08529423042652606
672,2019-08-30,2338914.5912698414,2056958.9365079366,2123552.1904761903,15070.77873015873,13535.226349206348,13952.54126984127,AAL,0.41772672686718243,0.3517261402265878,0.40706667300620814,-0.3426119853362065,-0.21474672779250847,-0.029318237393996194,8.631719672822182,3.2111050908568757,24.46688172044514,-227188284.92999995,-0.1521791713644584,-0.13483784493441744,-0.05600184503303095,26.309999465942383,32.73409682626706,28.966338252607375,3.01417,3.01417,2.98498,0.38367,1151000000.0,1457000000.0,5817000000.0,925000000.0,10398000000.0,835000000.0,1380000000.0,4810000000.0,-249000000.0,2932000000.0,8640000000.0,5059000000.0,15.8745874587459,472000000.0,31000000.0,1.53745928338762,868000000.0,9563000000.0,0.2392931392931393,1.378443113772455,0.12035971975321552,0.11069436430082709,0.197868317001891,1552000000.0,1.0652024708304735,0.09672696852452159,0.08895941527216772,0.15901667526216262,0.09812889812889813,0.049356896371431556,0.04539334487401423,0.08114148186350352,0.05462962962962963,0.18045738045738047,0.09076649586949702,0.0834775918445855,0.14921780986762936,0.10046296296296296,19.3150970975151,9.31849090817509,11.4551083591331,12.8615558509213,60.95634,-0.5005441342596901,0.09590114480621503,-0.3168362250046993
692,2019-09-30,2381612.9444444445,2045678.0238095238,2161455.9365079366,14613.584206349205,12959.905238095238,13648.460317460318,AAL,0.4203020795995945,0.3619936189604386,0.3816563808930324,-0.3423590867852947,-0.16095905368984398,-0.17685933215394012,8.848250793407772,3.29165731103967,25.08064601272676,-227187991.04999995,-0.15217897451269338,-0.13483767051457057,-0.056001772591697876,26.969999313354492,31.87867482812516,28.41032257428796,3.01417,3.01417,2.98498,0.38367,1151000000.0,1457000000.0,5817000000.0,925000000.0,10398000000.0,835000000.0,1380000000.0,4810000000.0,-249000000.0,2932000000.0,8640000000.0,5059000000.0,15.8745874587459,472000000.0,31000000.0,1.53745928338762,868000000.0,9563000000.0,0.2392931392931393,1.378443113772455,0.12035971975321552,0.11069436430082709,0.197868317001891,1552000000.0,1.0652024708304735,0.09672696852452159,0.08895941527216772,0.15901667526216262,0.09812889812889813,0.049356896371431556,0.04539334487401423,0.08114148186350352,0.05462962962962963,0.18045738045738047,0.09076649586949702,0.0834775918445855,0.14921780986762936,0.10046296296296296,19.3150970975151,9.31849090817509,11.4551083591331,12.8615558509213,60.95634,-0.5426353503269761,0.0527153099238189,-0.5448755193798924
1310,2019-07-31,10012494.599206349,224179.6984126984,226695.42857142858,11862.246547619046,11202.723492063493,11587.695317460317,AAP,0.28923154171563187,0.2543209053448901,0.2463966078376848,0.07239984541774414,-0.05210079758569497,-0.08015145817791691,8.870793418373474,1.298050171214207,-29.817259396096908,1184010806.4500008,-39.46702688166669,2.7924783170990586,0.2095965315011508,150.63999938964844,157.64630847188525,156.7347282548416,-10.46074,-10.46074,-10.46129,4.84985,-10159000000.0,-7912000000.0,18687000000.0,-5808000000.0,72464000000.0,6386000000.0,17950000000.0,-7667000000.0,-13766000000.0,39999000000.0,50943000000.0,6099000000.0,-11.8419051023396,3470000000.0,148000000.0,5.28663623676818,3871000000.0,66078000000.0,1.32502934655015,-1.5908236767929846,-0.1537425466872484,-0.1401937513799956,-0.5436399636110665,22049000000.0,-2.7867795753286146,-0.08789612276400617,-0.08015014351954074,-0.310804302456253,-0.4525890178687883,0.052513695935107,0.04788584676529035,0.18569058703911812,0.06811534460082838,-0.5048910916916656,0.058582281546051634,0.053419629057187015,0.20714935516669342,0.07598688730541979,19.3150970975151,-8.47833703141422,-11.9154348784966,10.3269531183169,15770.625,0.02017027540850047,0.09143767022888483,-0.10133954086896657
1332,2019-08-30,253559.44444444444,235241.55555555556,246650.49206349207,11678.59861111111,10734.685396825396,11287.31857142857,AAP,0.28231315569681276,0.24077306168491605,0.22640070728514733,-0.1553176660859943,-0.1284450880909629,-0.09901517711830687,20.900437999897306,2.694030872752532,34.53702078182951,-758152.1599999666,-0.0011041769124787242,-0.0008242405951605333,-7.844844798442093e-05,137.9499969482422,154.07541248015178,146.3093930647165,6.02498,6.60034,6.57256,0.14872,686622000.0,919819000.0,9664336000.0,436605000.0,11267946000.0,176425000.0,747719000.0,3671302000.0,2156901000.0,746951000.0,6895541000.0,1514401000.0,51.2057966163159,287619000.0,50113000.0,3.99426452616376,225832000.0,11091521000.0,0.18702411297136548,3.891863398044495,0.06190512554590123,0.06093586177995528,0.07104699174366454,-768000.0,-0.0008349468754178811,0.03936385280251464,0.03874752328419039,0.04517692679559154,0.07834250628251231,0.025931429963482917,0.02552541519102062,0.029760865102372268,0.041710867936250395,0.06151278211381139,0.02036077829181408,0.020041984581750747,0.023367565034990507,0.0327504397406962,13.0531755564109,4.75887235965157,7.88518472118739,10.4858498217713,20.34567,0.13908398422391444,0.13911789052508627,-0.05450965594198387
1352,2019-09-30,254098.84126984127,238116.83333333334,257120.39682539683,11561.678174603174,10718.765238095239,11149.073571428571,AAP,0.29232983023065207,0.25111172671079196,0.27402843741646893,-0.024363228002141746,-0.04665585602886102,0.05667384705253875,25.05931420146301,3.230102934162386,41.40937406950878,-756192.5800000429,-0.0011013229695524508,-0.000822110197767216,-7.82456839249011e-05,165.39999389648438,154.2480740290151,151.6508093662168,6.02498,6.60034,6.57256,0.14872,686622000.0,919819000.0,9664336000.0,436605000.0,11267946000.0,176425000.0,747719000.0,3671302000.0,2156901000.0,746951000.0,6895541000.0,1514401000.0,51.2057966163159,287619000.0,50113000.0,3.99426452616376,225832000.0,11091521000.0,0.18702411297136548,3.891863398044495,0.06190512554590123,0.06093586177995528,0.07104699174366454,-768000.0,-0.0008349468754178811,0.03936385280251464,0.03874752328419039,0.04517692679559154,0.07834250628251231,0.025931429963482917,0.02552541519102062,0.029760865102372268,0.041710867936250395,0.06151278211381139,0.02036077829181408,0.020041984581750747,0.023367565034990507,0.0327504397406962,13.0531755564109,4.75887235965157,7.88518472118739,10.4858498217713,20.34567,-0.07678550919467741,-0.03760325940905196,-0.4339831508837675
1970,2019-07-31,228131.10714285713,32070157.746031746,32617027.111111112,905447.8448412698,898360.7619047619,889518.5634920635,AAPL,0.3113271955864122,0.22435805288800592,0.2466453079222412,0.13887052835620617,0.2997134515596571,0.015867425904621868,3.561393471906262,0.4557679236254117,7.290484356506251,6601962765.8,1.3225085668669871,1.1304730763356166,0.19587487808337042,53.2599983215332,47.77341682241367,50.05773705909267,9.37155,9.37155,9.32934,2.20044,991122000.0,1239877000.0,10738809000.0,635363000.0,11868488000.0,196834000.0,880233000.0,3501567000.0,1834582000.0,1033369000.0,7076065000.0,1666985000.0,53.5088708568285,329932000.0,70884000.0,4.99125593779311,259638000.0,11671654000.0,0.28305098831466025,5.035319101374762,0.08491701347555368,0.08350869967598232,0.09229347500267487,153136000.0,0.12350902549204477,0.05443641492456853,0.05353360933591541,0.059165127157024586,0.09422410023855034,0.02826780163291338,0.02779899175025496,0.030723332540880464,0.04662647954760167,0.07414908810826695,0.02224517621924022,0.021876249106036083,0.024177541475968144,0.03669242721766971,18.0536857066381,5.30772655847318,8.87527983065304,13.6648676817602,29.51162,0.8276001889267419,0.1463311750357521,0.5305885543755053
1992,2019-08-30,37630720.396825396,33201467.46031746,31158739.746031746,893700.5198412698,921753.4396825398,909235.7349206349,AAPL,0.3205802624473064,0.2636201570546091,0.2693759518482966,-0.04933548557593326,0.1961331330428837,0.20907734651414867,3.489510497170211,0.44656872831101924,7.143333611454819,6601943333.0,1.3225046740785256,1.13046974880137,0.1958743015279632,52.185001373291016,48.46600496650353,50.842585354982035,9.37155,9.37155,9.32934,2.20044,991122000.0,1239877000.0,10738809000.0,635363000.0,11868488000.0,196834000.0,880233000.0,3501567000.0,1834582000.0,1033369000.0,7076065000.0,1666985000.0,53.5088708568285,329932000.0,70884000.0,4.99125593779311,259638000.0,11671654000.0,0.28305098831466025,5.035319101374762,0.08491701347555368,0.08350869967598232,0.09229347500267487,153136000.0,0.12350902549204477,0.05443641492456853,0.05353360933591541,0.059165127157024586,0.09422410023855034,0.02826780163291338,0.02779899175025496,0.030723332540880464,0.04662647954760167,0.07414908810826695,0.02224517621924022,0.021876249106036083,0.024177541475968144,0.03669242721766971,18.0536857066381,5.30772655847318,8.87527983065304,13.6648676817602,29.51162,1.4972754289465255,0.2841446063582771,0.3934909719325781
