,date,12m_volume,6m_volume,3m_volume,12m_avg_mkt_cap,3m_avg_mkt_cap,6m_avg_mkt_cap,Instrument,1yr_vol,6mth_vol,3mth_vol,1yr_mom,6m_mom,3m_mom,p_e,p_b,p_cf,ev,ev_ebit,ev_ebitda,ev_sales,close,200_ma,50_ma,eps_basic,eps_excl_basic,eps_dil,eps_growth,ebit,ebitda,rev,net_inc,tot_assets,oth_assets,cash,book_val,tang_book,debt,lt_cap,intang,bvps,ocf,capex,cfo_ps,fcfe,noa,ebit_bv,ebit_nonop,ebit_op,ebit_tot,ebit_mgn,net_debt,nd_ebitda,ni_op,ni_tot,ni_mgn,ocf_bv,ocf_op,ocf_tot,ocf_mgn,ocf_ce,fcf_bv,fcf_op,fcf_tot,fcf_mgn,fcf_ce,roe,roa,roce,roic,d_e,1yr_ret,3m_ret,6m_ret
55,2019-10-31,562750.6547619047,572141.119047619,519272.79365079367,23137.87138888889,22855.860634920635,22628.576825396827,A,0.27918439945374424,0.28755332543848994,0.2711773364164048,0.200882234531778,-0.04048345124488817,0.11505540209384035,21.993624026618818,4.946808510638283,98.91322314049582,33023442.180000067,0.03345840139817636,0.027405346207468935,0.006487906125736752,75.75,72.88946086530822,74.50357817677258,3.38443,3.44418,3.40123,-0.12532,987000000.0,1205000000.0,5090000000.0,1072000000.0,8625000000.0,778000000.0,1765000000.0,4747000000.0,1129000000.0,1798000000.0,7003000000.0,3618000000.0,15.3129032258065,242000000.0,48000000.0,0.765822784810127,194000000.0,7847000000.0,0.2079207920792079,1.268637532133676,0.12578055307760927,0.11443478260869565,0.19390962671905698,33000000.0,0.027385892116182572,0.13661271823626864,0.12428985507246376,0.2106090373280943,0.050979566041710556,0.030839811392889,0.028057971014492755,0.04754420432220039,0.03455661859203198,0.04086791657889193,0.02472282400917548,0.022492753623188404,0.0381139489194499,0.027702413251463658,34.8834711631404,19.1351478732179,22.6530896917283,18.5649144106529,37.87655,0.3592954133173447,0.08677857138629852,-0.01112074579382838
75,2019-11-29,549722.0079365079,534019.9444444445,498616.34920634923,23310.226904761905,23636.6473015873,22987.82,A,0.2589460742219558,0.2261553491490814,0.1981152479813328,0.14002279454288136,0.21095601430752375,0.13828969677626324,23.74826795029429,5.256514103350348,80.25553806572175,1025024995.6999998,1.0322507509566967,0.8326766821283508,0.19853282891729612,80.7699966430664,73.83155146513695,76.62951925099112,3.40109,3.40109,3.35842,0.01666,993000000.0,1231000000.0,5163000000.0,1071000000.0,9452000000.0,797000000.0,1382000000.0,4748000000.0,48000000.0,2407000000.0,7372000000.0,4700000000.0,15.3656957928803,314000000.0,30000000.0,1.00641025641026,884000000.0,8655000000.0,0.20914069081718617,1.245922208281054,0.1147313691507799,0.10505713076597545,0.19233004067402673,1025000000.0,0.8326563769293257,0.12374350086655113,0.11330935251798561,0.2074375363160953,0.06613310867733782,0.03627960716348931,0.03322048243757935,0.06081735425140422,0.042593597395550735,0.18618365627632688,0.10213749277874061,0.09352517985611511,0.17121828394344374,0.11991318502441671,22.9951690821256,11.9046295781693,14.5299145299145,17.1125972738189,50.69503,0.459747591081475,-0.0034712925047680754,0.12307700405083022
96,2019-12-31,533583.3412698413,521978.25396825396,468917.61904761905,23717.535674603176,24491.46492063492,23496.78373015873,A,0.2446807786056124,0.2231468217000122,0.16465211488558917,0.2753959298063058,0.13310510834403555,0.14230545592000432,25.08313439473632,5.55197751592363,84.76662177796547,1025026461.7399998,1.032252227331319,0.8326778730625506,0.19853311286848727,85.30999755859375,75.69258375436813,80.7786322884536,3.40109,3.40109,3.35842,0.01666,993000000.0,1231000000.0,5163000000.0,1071000000.0,9452000000.0,797000000.0,1382000000.0,4748000000.0,48000000.0,2407000000.0,7372000000.0,4700000000.0,15.3656957928803,314000000.0,30000000.0,1.00641025641026,884000000.0,8655000000.0,0.20914069081718617,1.245922208281054,0.1147313691507799,0.10505713076597545,0.19233004067402673,1025000000.0,0.8326563769293257,0.12374350086655113,0.11330935251798561,0.2074375363160953,0.06613310867733782,0.03627960716348931,0.03322048243757935,0.06081735425140422,0.042593597395550735,0.18618365627632688,0.10213749277874061,0.09352517985611511,0.17121828394344374,0.11991318502441671,22.9951690821256,11.9046295781693,14.5299145299145,17.1125972738189,50.69503,0.384931843234376,-0.19006690906934154,0.03762428139927154
715,2019-10-31,2278289.603174603,2157922.619047619,2304946.603174603,14312.160476190476,12244.415079365079,13143.394682539682,AAL,0.3967734895796179,0.37608199180300506,0.37119702224243817,-0.12236004323563898,-0.13041698419016345,0.02430323384522093,8.438794725035198,82.29587827089952,16.06107949726134,20065013168.02,5.6094529404584845,3.4352017065605205,0.4420287966871544,30.059999465942383,31.11412667380349,28.45229247658132,3.56212,3.56212,3.5578,0.15395,3577000000.0,5841000000.0,45393000000.0,1596000000.0,61175000000.0,1931000000.0,5168000000.0,160000000.0,-6026000000.0,25233000000.0,41615000000.0,6186000000.0,0.365267375444875,828000000.0,806000000.0,1.8716051726827,63000000.0,59244000000.0,22.35625,1.8524080787156914,0.06037742218621295,0.05847159787494892,0.07880069614257705,20065000000.0,3.4351994521486047,0.02693943690500304,0.026089088680016345,0.03515960610666843,5.175,0.013976098845452704,0.01353494074376788,0.01824069790496332,0.019896671873122673,0.39375,0.0010633988251974884,0.001029832447895382,0.0013878791884211223,0.0015138772077375945,19.3150970975151,2.80467445742905,4.09745577777207,9.97819293552811,15770.625,-0.6221428956607922,-0.09354492166036177,-0.6710499346509461
735,2019-11-29,2194586.01984127,2124236.3253968256,2124920.4603174604,13973.001547619046,12605.305079365078,13042.487222222224,AAL,0.39088392039443,0.3688744821374802,0.32894693570871547,-0.2527684169910921,0.06377125488243429,0.09590114480621503,8.068228967895006,78.68208798038552,15.35580270379524,20065012589.79,5.609452778806262,3.4352016075654856,0.44202878394884676,28.739999771118164,30.814303296108445,28.932689187962588,3.56212,3.56212,3.5578,0.15395,3577000000.0,5841000000.0,45393000000.0,1596000000.0,61175000000.0,1931000000.0,5168000000.0,160000000.0,-6026000000.0,25233000000.0,41615000000.0,6186000000.0,0.365267375444875,828000000.0,806000000.0,1.8716051726827,63000000.0,59244000000.0,22.35625,1.8524080787156914,0.06037742218621295,0.05847159787494892,0.07880069614257705,20065000000.0,3.4351994521486047,0.02693943690500304,0.026089088680016345,0.03515960610666843,5.175,0.013976098845452704,0.01353494074376788,0.01824069790496332,0.019896671873122673,0.39375,0.0010633988251974884,0.001029832447895382,0.0013878791884211223,0.0015138772077375945,19.3150970975151,2.80467445742905,4.09745577777207,9.97819293552811,15770.625,-0.5065338298776265,-0.3766191611049896,-0.6081606146001235
756,2019-12-31,2148175.964285714,2110072.1904761903,2049555.126984127,13764.59623015873,12585.876825396826,12700.661190476188,AAL,0.3553369421639215,0.3451520204539557,0.3064430729776428,-0.0957193819037846,-0.10300799018442341,0.07361813530545791,8.051385215875877,78.51782620948603,15.323744945664352,20065012563.5,5.609452771456528,3.435201603064544,0.44202878336968254,28.68000030517578,30.302526928544285,28.525695549179144,3.56212,3.56212,3.5578,0.15395,3577000000.0,5841000000.0,45393000000.0,1596000000.0,61175000000.0,1931000000.0,5168000000.0,160000000.0,-6026000000.0,25233000000.0,41615000000.0,6186000000.0,0.365267375444875,828000000.0,806000000.0,1.8716051726827,63000000.0,59244000000.0,22.35625,1.8524080787156914,0.06037742218621295,0.05847159787494892,0.07880069614257705,20065000000.0,3.4351994521486047,0.02693943690500304,0.026089088680016345,0.03515960610666843,5.175,0.013976098845452704,0.01353494074376788,0.01824069790496332,0.019896671873122673,0.39375,0.0010633988251974884,0.001029832447895382,0.0013878791884211223,0.0015138772077375945,19.3150970975151,2.80467445742905,4.09745577777207,9.97819293552811,15770.625,-0.434808867664089,-0.6258889715034499,-0.5516966679008788
1375,2019-10-31,245166.28174603175,242135.72222222222,253501.57142857142,11496.662142857142,10873.262857142856,11013.938492063493,AAP,0.28568567229583314,0.24880897327405568,0.2504853191241733,-0.013585242466660707,-0.004061456504465544,0.1149910655596369,24.61691302683484,3.173078175992431,40.678326300935026,-756401.0399999619,-0.0011016265718254905,-0.0008223368293109425,-7.826725395308709e-05,162.47999572753906,155.8627164002294,158.19086536815072,6.02498,6.60034,6.57256,0.14872,686622000.0,919819000.0,9664336000.0,436605000.0,11267946000.0,176425000.0,747719000.0,3671302000.0,2156901000.0,746951000.0,6895541000.0,1514401000.0,51.2057966163159,287619000.0,50113000.0,3.99426452616376,225832000.0,11091521000.0,0.18702411297136548,3.891863398044495,0.06190512554590123,0.06093586177995528,0.07104699174366454,-768000.0,-0.0008349468754178811,0.03936385280251464,0.03874752328419039,0.04517692679559154,0.07834250628251231,0.025931429963482917,0.02552541519102062,0.029760865102372268,0.041710867936250395,0.06151278211381139,0.02036077829181408,0.020041984581750747,0.023367565034990507,0.0327504397406962,13.0531755564109,4.75887235965157,7.88518472118739,10.4858498217713,20.34567,-0.0876368213175267,-0.18328160772176627,-0.25840046895600977
1395,2019-11-29,245274.46031746033,235484.81746031746,224319.14285714287,11374.75138888889,11337.820634920636,11017.716746031745,AAP,0.2704773017951851,0.26205122443792206,0.29215211859554535,-0.12086852506445533,0.026327930836112623,0.13911789052508627,22.222662621144448,3.149609205262005,51.296999558146965,173420879.26999998,0.24429398420309736,0.18369863415218032,0.017875750584963497,157.0800018310547,156.98189116487748,159.99169341085266,6.2143,7.06846,7.03889,0.18932,709886000.0,944051000.0,9701460000.0,444431000.0,11106802000.0,189933000.0,573726000.0,3454942000.0,1949055000.0,747136000.0,6642889000.0,1505887000.0,49.8728545651389,216385000.0,57799000.0,3.06216744028077,169648000.0,10916869000.0,0.2054697300273058,3.7375600869780397,0.0650265199664849,0.06391452733198989,0.07317311002673825,173410000.0,0.1836871101243471,0.04071048209885087,0.040014308349063936,0.04581073364215283,0.06263057382728857,0.019821159345229846,0.019482205588971516,0.022304374805441656,0.03257392980674523,0.04910299507198674,0.015539986785588432,0.015274243657175125,0.017486852494366826,0.025538286128219213,14.2461295666447,5.04778214023449,8.52153310784168,10.8698175184846,21.62514,-0.05358087634072439,-0.1699802523317545,-0.10913395692177652
1416,2019-12-31,242402.48015873015,244769.54761904763,232658.87301587302,11316.58761904762,11223.658095238095,10975.925634920635,AAP,0.26512374580686887,0.26429783097045817,0.25802338763339305,0.018700245617046862,0.0030878099404856307,-0.04225696486552899,22.658401357878432,3.211366284497,52.302823665130575,173421092.59000003,0.2442942847020508,0.18369886011454895,0.01787577257340648,160.16000366210938,156.90217045272925,158.27296142667376,6.2143,7.06846,7.03889,0.18932,709886000.0,944051000.0,9701460000.0,444431000.0,11106802000.0,189933000.0,573726000.0,3454942000.0,1949055000.0,747136000.0,6642889000.0,1505887000.0,49.8728545651389,216385000.0,57799000.0,3.06216744028077,169648000.0,10916869000.0,0.2054697300273058,3.7375600869780397,0.0650265199664849,0.06391452733198989,0.07317311002673825,173410000.0,0.1836871101243471,0.04071048209885087,0.040014308349063936,0.04581073364215283,0.06263057382728857,0.019821159345229846,0.019482205588971516,0.022304374805441656,0.03257392980674523,0.04910299507198674,0.015539986785588432,0.015274243657175125,0.017486852494366826,0.025538286128219213,14.2461295666447,5.04778214023449,8.52153310784168,10.8698175184846,21.62514,-0.00802657060987677,-0.4416713096820738,-0.10969739908036402
2035,2019-10-31,35905753.84126984,32607007.746031746,31982108.825396825,889231.953968254,992971.2015873016,944963.6857142857,AAPL,0.3133267882861078,0.2622146260798505,0.27030072846078274,0.184342249093022,0.18378645351479062,0.22392487777277537,20.84415603679786,12.214872280883387,56.478576603155986,7491105305.0,0.11717668238698577,0.09795239490304275,0.028792674537040597,62.189998626708984,51.49740436389072,56.806612281505245,2.98357,2.98357,2.96315,0.02645,63930000000.0,76477000000.0,260174000000.0,55256000000.0,338516000000.0,45330000000.0,100557000000.0,90488000000.0,90488000000.0,108047000000.0,232798000000.0,1666985000.0,5.09133433380536,19910000000.0,2777000000.0,1.10112545972403,16840000000.0,293186000000.0,0.7065025196711167,1.4103242885506286,0.2180527037443807,0.18885370263148565,0.24572017188496928,7490000000.0,0.09793794212639094,0.18846738930235413,0.16323009842961633,0.21238094505984456,0.22002917513924497,0.06790910889333052,0.058815536045563575,0.07652570971734302,0.08552478973187055,0.18610202457784458,0.05743794042007463,0.04974654078389205,0.06472591419588429,0.07233739121470116,55.9172211399803,15.6923553158649,22.8995801854147,27.7328422861878,119.40478,0.7678097593043582,0.24451960476709855,0.1848286543853621
